Date,Open,High,Low,Volume,Close
12/06/2024 16:56:00,"27,54","27,57","27,04",172300,"27,34"
13/06/2024 16:56:00,"27,37","27,49","27,15",248300,"27,15"
14/06/2024 16:56:00,"27,15","27,28","26,93",363900,"27,14"
17/06/2024 16:56:00,"27,15","27,78","27,15",290900,"27,74"
18/06/2024 16:56:00,"27,76","27,98","27,55",353300,"27,69"
19/06/2024 16:56:00,"27,8","27,95","27,46",248400,"27,81"
20/06/2024 16:56:00,"27,95","28,15","27,69",216700,"27,79"
21/06/2024 16:56:00,"27,7","28,1","27,5",1008500,"28,1"
24/06/2024 16:56:00,"28,02","28,66","27,97",890300,"28,25"
25/06/2024 16:56:00,"28,26","28,44","27,54",606800,"28,18"
26/06/2024 16:56:00,"28,17","28,17","27,57",448300,"27,96"
27/06/2024 16:56:00,"28,05","28,2","27,93",280700,"28,09"
28/06/2024 16:56:00,"28,09","28,17","27,68",528200,"28,09"
01/07/2024 16:56:00,"28,09","28,23","27,82",214600,"27,87"
02/07/2024 16:56:00,"27,88","28,13","27,83",209500,"28,03"
03/07/2024 16:56:00,"28,19","28,66","28,14",288300,"28,32"
04/07/2024 16:56:00,"28,54","28,63","28,37",188500,"28,5"
05/07/2024 16:56:00,"28,44","28,52","28,14",291100,"28,28"
08/07/2024 16:56:00,"28,3","28,41","28,11",235900,"28,36"
09/07/2024 16:56:00,"28,36","28,55","28,04",413000,"28,55"
10/07/2024 16:56:00,"28,6","28,85","28,48",1484900,"28,59"
11/07/2024 16:56:00,"28,61","28,85","28,59",288700,"28,82"
12/07/2024 16:56:00,"28,83","28,86","28,56",242400,"28,68"
15/07/2024 16:56:00,"28,87","28,87","28,68",245700,"28,73"
16/07/2024 16:56:00,"28,79","28,96","28,71",160700,"28,89"
17/07/2024 16:56:00,"28,89","29,3","28,75",293200,"29,3"
18/07/2024 16:56:00,"29,28","29,28","28,97",336900,"29,1"
19/07/2024 16:56:00,"29,11","29,55","29,02",361500,"29,36"
22/07/2024 16:56:00,"29,36","29,54","29,22",374400,"29,34"
23/07/2024 16:56:00,"29,25","29,5","29,22",225800,"29,24"
24/07/2024 16:56:00,"29,24","29,44","29,14",215400,"29,3"
25/07/2024 16:56:00,"29,31","29,32","29,04",212400,"29,13"
26/07/2024 16:56:00,"29,13","29,4","29,04",225900,"29,33"
29/07/2024 16:56:00,"29,31","29,65","29,31",247600,"29,54"
30/07/2024 16:56:00,"29,57","29,57","29,27",228500,"29,46"
31/07/2024 16:56:00,"29,46","29,49","29,12",365200,"29,12"
01/08/2024 16:56:00,"29,1","29,19","28,54",318300,"28,61"
02/08/2024 16:56:00,"28,63","28,91","28,2",314200,"28,39"
05/08/2024 16:56:00,28,"28,35","27,71",407200,"28,25"
06/08/2024 16:56:00,"28,26","29,19","28,26",462400,"28,9"
07/08/2024 16:56:00,"29,3","29,49","28,6",592200,"29,05"
08/08/2024 16:56:00,"29,25","29,41","28,98",623700,"29,09"
09/08/2024 16:56:00,"29,24","29,71","29,05",385000,"29,64"
12/08/2024 16:56:00,"29,41","29,95","29,41",164200,"29,82"
13/08/2024 16:56:00,"29,9","30,64","29,9",436000,"30,58"
14/08/2024 16:56:00,"30,64","31,5","30,58",518300,"31,31"
15/08/2024 16:56:00,"31,39","31,83","31,3",770600,"31,81"
16/08/2024 16:56:00,"31,89","32,18","31,5",549200,"31,65"
19/08/2024 16:56:00,"31,66","32,1","31,59",842100,"31,97"
20/08/2024 16:56:00,32,"32,29","31,77",527300,"32,29"
21/08/2024 16:56:00,"32,29","32,29","31,93",349200,"32,13"
22/08/2024 16:56:00,"31,99",32,"31,37",763900,"31,78"
23/08/2024 16:56:00,"31,71","31,95","31,55",321700,"31,61"
26/08/2024 16:56:00,"31,78","31,78","31,45",410000,"31,59"
27/08/2024 16:56:00,"31,59","31,64","31,4",347300,"31,52"
28/08/2024 16:56:00,"31,5","32,27","31,32",341500,"32,26"
29/08/2024 16:56:00,"32,15","32,33","32,07",413500,"32,18"
30/08/2024 16:56:00,"32,12","32,17","31,58",969900,"31,81"
02/09/2024 16:56:00,"31,8","31,86","31,61",608700,"31,67"
03/09/2024 16:56:00,"31,67","32,19","31,67",1026800,"32,19"
04/09/2024 16:56:00,"32,14","32,8","32,14",667500,"32,44"
05/09/2024 16:56:00,"32,31","32,76","32,12",614800,"32,65"
06/09/2024 16:56:00,"32,8","32,85","32,18",439800,"32,37"
09/09/2024 16:56:00,"32,52","32,62","32,31",695500,"32,44"
10/09/2024 16:56:00,"32,43","32,61","32,23",373800,"32,5"
11/09/2024 16:56:00,"32,6","32,65","32,38",351400,"32,43"
12/09/2024 16:56:00,"32,45","32,49","32,05",430200,"32,33"
13/09/2024 16:56:00,"32,33","32,57","31,94",918900,"32,34"
16/09/2024 16:56:00,"32,34","32,55","32,27",532400,"32,41"
17/09/2024 16:56:00,"32,5","32,5","31,92",651600,"32,1"
18/09/2024 16:56:00,"32,2","32,25","31,87",474600,"31,99"
19/09/2024 16:56:00,"32,13","32,15","31,7",788300,"31,76"
20/09/2024 16:56:00,"31,55","31,88","31,13",931600,"31,26"
23/09/2024 16:56:00,"31,17","31,21","30,88",695800,"31,21"
24/09/2024 16:56:00,"31,45","31,63","30,91",618600,"31,12"
25/09/2024 16:56:00,"31,12","31,46","31,12",561300,"31,43"
26/09/2024 16:56:00,"31,53","31,94","31,53",434100,"31,87"
27/09/2024 16:56:00,"31,71","31,91","31,68",537300,"31,91"
30/09/2024 16:56:00,"31,88","32,03","31,43",433700,"31,43"
01/10/2024 16:56:00,"31,41","31,49","30,77",472700,"30,89"
02/10/2024 16:56:00,"30,9","31,43","30,9",346500,"31,09"
03/10/2024 16:56:00,"31,01","31,02","30,3",388200,"30,4"
04/10/2024 16:56:00,"30,39","30,6","30,27",313600,"30,46"
07/10/2024 16:56:00,"30,64","30,7","30,34",358600,"30,52"
08/10/2024 16:56:00,"30,76","30,88","30,65",291100,"30,74"
09/10/2024 16:56:00,"30,65","30,65","30,2",382300,"30,24"
10/10/2024 16:56:00,"30,25","30,42","30,17",220300,"30,27"
11/10/2024 16:56:00,"30,39","30,47","30,16",264000,"30,17"
14/10/2024 16:56:00,"30,17","30,42","30,17",273000,"30,32"
15/10/2024 16:56:00,"30,33","30,54","30,17",456400,"30,5"
16/10/2024 16:56:00,"30,5","30,54","30,21",1025700,"30,36"
17/10/2024 16:56:00,"30,4","30,74","29,99",460700,"30,41"
18/10/2024 16:56:00,"30,55","30,72","30,3",328400,"30,49"
21/10/2024 16:56:00,"30,49","30,66","30,24",563000,"30,3"
22/10/2024 16:56:00,"30,28","30,45","30,01",673600,"30,41"
23/10/2024 16:56:00,"30,4","30,62","30,28",545800,"30,62"
24/10/2024 16:56:00,"30,62","30,93","30,48",547000,"30,8"
25/10/2024 16:56:00,"30,8","30,91","30,39",287500,"30,51"
28/10/2024 16:56:00,"30,65","30,99","30,51",435800,"30,8"
29/10/2024 16:56:00,"30,98","31,04","30,47",269000,"30,51"
30/10/2024 16:56:00,"30,45","30,64","30,32",351700,"30,38"
31/10/2024 16:56:00,"30,4","30,57","30,04",531300,"30,19"
04/11/2024 16:56:00,"30,3","30,53","30,07",246000,"30,41"
05/11/2024 16:56:00,"30,89","31,63","30,72",725400,"31,41"
06/11/2024 16:56:00,"31,28","31,58","30,78",540900,"31,49"
07/11/2024 16:56:00,"31,3","31,58","30,65",616500,"30,84"
08/11/2024 16:56:00,"30,8","30,8","30,23",374200,"30,43"
11/11/2024 16:56:00,"30,43","30,63","30,34",389100,"30,48"
12/11/2024 16:56:00,"30,48","30,58","30,15",431600,"30,33"
13/11/2024 16:56:00,"30,34","30,34","29,93",441500,"30,09"
14/11/2024 16:56:00,"29,88","29,88","29,88",656400,"29,88"
18/11/2024 16:56:00,"29,88","30,01","29,48",1069000,"29,54"
19/11/2024 16:56:00,"29,6","29,95","29,48",365700,"29,86"
21/11/2024 16:56:00,"29,75","29,8","29,4",329100,"29,4"
22/11/2024 16:56:00,"29,69","29,69","29,35",329000,"29,5"
25/11/2024 16:56:00,"29,5","29,59","29,41",524000,"29,57"
26/11/2024 16:56:00,"29,48","30,35","29,48",294700,"29,99"
27/11/2024 16:56:00,"29,99","30,12","29,16",423200,"29,23"
28/11/2024 16:56:00,"29,23","29,26","28,35",517400,"28,46"
29/11/2024 16:56:00,"28,46","28,64","28,05",926200,"28,52"
02/12/2024 16:56:00,"28,38","28,43","28,05",658000,"28,15"
03/12/2024 16:56:00,"28,3","28,47","28,05",1094400,"28,31"
04/12/2024 16:56:00,"28,35","28,76","28,16",1211100,"28,6"
05/12/2024 16:56:00,"28,71","29,28","28,71",530000,"29,14"
06/12/2024 16:56:00,"29,14","29,27","28,69",843000,"28,91"
